,Unnamed: 0,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Defender_rating,home_Defender_rating,away_Attacker_rating,home_Attacker_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
0,145,493017,8203,9987,2008/2009,2009-02-27,HOME_WIN,61.0,53.33333333333334,68.25,59.0,62.0,58.0,63.0,64.2,,,,,,,,
1,153,493025,9984,8342,2008/2009,2009-03-08,AWAY_WIN,67.33333333333333,64.0,70.5,66.0,73.0,64.0,68.0,66.66666666666667,,,,,,,,
2,155,493027,8635,10000,2008/2009,2009-03-07,HOME_WIN,56.66666666666666,70.5,58.0,67.0,61.0,67.0,64.0,74.0,,,,,,,,
3,162,493034,8203,8635,2008/2009,2009-03-13,HOME_WIN,69.25,55.0,69.5,62.33333333333334,67.0,61.0,74.0,65.5,,,,1.0,1.0,,,
4,168,493040,10000,9999,2008/2009,2009-03-14,DRAW,58.5,61.33333333333334,64.0,58.0,64.0,61.0,60.33333333333334,64.0,,,,,,,,
5,173,493045,9991,10000,2008/2009,2009-03-22,HOME_WIN,55.0,66.66666666666667,57.0,67.5,61.0,71.0,64.0,70.4,,,,,,0.0,0.0,
6,176,493048,9999,8203,2008/2009,2009-03-21,HOME_WIN,55.0,58.5,62.33333333333334,64.0,61.0,64.0,65.5,60.0,,,,,,,,
7,189,493061,8635,8342,2008/2009,2009-04-12,HOME_WIN,67.33333333333333,71.25,70.5,69.0,73.0,67.0,68.8,73.4,,,,1.0,1.0,1.0,1.0,
8,190,493062,9999,9987,2008/2009,2009-04-10,HOME_WIN,65.5,58.5,66.75,64.0,62.0,64.0,65.0,59.5,,,,1.0,1.0,0.0,0.0,
9,217,493080,9984,9987,2008/2009,2009-04-26,AWAY_WIN,65.6,63.33333333333334,70.0,62.0,62.0,64.0,66.0,66.33333333333333,,,,0.0,0.0,0.0,0.0,
10,219,493082,9999,9991,2008/2009,2009-04-26,AWAY_WIN,66.0,58.5,69.0,65.5,71.0,64.0,69.6,59.83333333333334,,,,1.0,1.0,,,
11,226,493089,10000,9985,2008/2009,2009-05-02,DRAW,71.0,58.25,56.0,58.0,63.0,61.0,72.33333333333333,64.2,,,,0.0,0.0,,,
12,229,493092,9991,9984,2008/2009,2009-05-02,HOME_WIN,63.33333333333334,67.33333333333333,62.0,68.0,64.0,71.0,65.66666666666667,68.5,,,,1.0,1.0,,,
13,231,493094,10001,9999,2008/2009,2009-05-02,HOME_WIN,58.5,63.0,65.0,66.0,64.0,67.0,59.85714285714285,64.5,,,,,,0.0,0.0,
14,234,493097,9985,8342,2008/2009,2009-05-09,HOME_WIN,66.5,68.66666666666667,66.5,74.0,73.0,63.0,68.75,72.33333333333333,,,,,,0.5,0.5,
15,240,493103,8635,9999,2008/2009,2009-05-09,HOME_WIN,60.0,69.2,64.0,69.5,64.0,67.0,60.0,74.0,,,,1.0,1.0,0.0,0.0,
16,242,493105,9984,10001,2008/2009,2009-05-09,HOME_WIN,63.0,63.33333333333334,66.0,62.0,67.0,62.0,64.5,66.66666666666667,,,,0.0,0.0,,,
17,243,493106,9987,8635,2008/2009,2009-05-16,AWAY_WIN,71.25,66.2,69.0,66.66666666666667,67.0,62.0,73.4,63.0,,,,,,0.0,0.0,
18,244,493107,9991,9985,2008/2009,2009-05-16,AWAY_WIN,66.6,67.0,74.0,69.0,63.0,71.0,74.5,70.25,,,,1.0,1.0,0.0,0.0,
19,308,665321,9984,9991,2009/2010,2009-08-02,AWAY_WIN,67.5,64.33333333333333,69.5,65.0,71.0,64.0,67.75,66.83333333333333,0.0,1.0,0.0,0.3333333333333333,,1.0,,
20,309,665322,9994,10000,2009/2010,2009-08-01,DRAW,63.5,64.66666666666667,63.0,68.5,67.0,73.0,67.4,66.6,,,,,,0.0,,
21,310,665323,8571,8635,2009/2010,2009-08-01,AWAY_WIN,71.0,0.0,71.5,66.0,71.0,64.0,73.25,62.625,,,,,,0.5,,
22,313,665411,8342,8635,2009/2010,2009-10-04,HOME_WIN,69.0,68.33333333333333,71.5,70.0,71.0,73.0,71.75,67.2,0.0,1.0,0.0,0.5,0.5,0.75,1.0,
23,317,665417,8203,9994,2009/2010,2009-10-03,HOME_WIN,64.66666666666667,57.5,67.33333333333333,65.5,61.0,70.0,66.5,64.0,,,,1.0,1.0,0.0,0.0,
24,319,665421,9993,10001,2009/2010,2009-10-03,HOME_WIN,65.0,64.5,63.5,62.5,67.0,64.0,62.0,69.25,,,,0.5,0.5,0.0,0.0,
25,320,665425,8342,9991,2009/2010,2009-10-18,HOME_WIN,67.66666666666667,68.5,69.5,68.5,71.0,73.0,68.4,68.25,,,,0.6,0.6,0.4,0.25,
26,322,665427,9987,8203,2009/2010,2009-10-18,AWAY_WIN,57.66666666666666,65.0,65.5,68.0,70.0,64.0,64.4,66.75,0.0,1.0,0.0,0.0,0.0,0.2,0.25,
27,323,665429,10000,9993,2009/2010,2009-10-17,HOME_WIN,64.5,63.66666666666666,62.5,63.66666666666666,64.0,67.0,69.25,68.0,,,,0.0,0.0,0.3333333333333333,0.3333333333333333,
28,324,665430,9994,9984,2009/2010,2009-10-17,DRAW,65.0,65.0,64.5,68.0,62.0,73.0,67.0,66.2,,,,0.0,0.0,0.0,0.0,
29,326,665435,10001,9985,2009/2010,2009-10-17,HOME_WIN,68.5,63.5,77.0,64.0,70.0,67.0,72.8,62.8,,,,0.25,0.0,0.5,0.5,
30,327,665438,9985,10000,2009/2010,2009-10-24,DRAW,63.33333333333334,70.0,63.66666666666666,67.0,67.0,63.0,68.0,72.5,0.0,0.0,1.0,0.6666666666666666,0.5,0.16666666666666666,0.25,
31,330,665443,9984,8571,2009/2010,2009-10-24,DRAW,63.5,65.0,64.0,65.0,64.0,62.0,63.66666666666666,65.83333333333333,,,,0.25,0.2,0.25,0.25,
32,332,665445,8203,8635,2009/2010,2009-10-25,AWAY_WIN,67.75,57.66666666666666,74.0,65.5,71.0,70.0,72.8,64.4,1.0,0.0,0.0,1.0,1.0,0.6,0.6666666666666666,0.0
33,335,665536,8635,9994,2009/2010,2009-10-31,HOME_WIN,57.5,68.6,67.5,74.0,61.0,71.0,66.16666666666667,70.5,,,,0.75,0.6,0.0,0.0,
34,338,665541,9991,9993,2009/2010,2009-11-01,AWAY_WIN,65.0,67.66666666666667,62.5,69.5,64.0,71.0,68.33333333333333,67.6,,,,0.8333333333333334,1.0,0.25,0.25,
35,339,665543,8571,8203,2009/2010,2009-10-31,HOME_WIN,57.66666666666666,63.33333333333334,65.5,64.0,70.0,64.0,64.4,64.2,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,
36,341,665548,9985,8342,2009/2010,2009-11-08,HOME_WIN,67.6,66.2,69.0,77.0,73.0,70.0,68.25,72.25,1.0,0.0,0.0,0.5,0.3333333333333333,0.5,0.6666666666666666,0.0
37,344,665554,9984,10001,2009/2010,2009-11-07,HOME_WIN,65.0,64.0,64.0,65.0,67.0,62.0,62.75,66.8,1.0,0.0,0.0,0.2222222222222222,0.16666666666666666,0.0,0.0,0.0
38,345,665556,9994,8571,2009/2010,2009-11-07,DRAW,63.33333333333334,0.0,64.0,67.66666666666667,64.0,61.0,64.2,66.14285714285714,,,,0.0,0.0,0.2,0.2,
39,349,665570,8635,9999,2009/2010,2009-11-21,HOME_WIN,60.0,68.6,62.5,73.5,64.0,71.0,61.33333333333334,73.66666666666667,1.0,0.0,0.0,0.7777777777777778,0.6666666666666666,0.0,0.0,0.0
40,351,665574,10000,8203,2009/2010,2009-11-22,HOME_WIN,59.33333333333334,60.66666666666666,65.5,64.0,70.0,67.0,63.8,67.2,,,,0.16666666666666666,0.25,0.2857142857142857,0.3333333333333333,
41,352,665575,9991,9985,2009/2010,2009-11-21,HOME_WIN,66.75,66.66666666666667,71.5,69.0,70.0,71.0,74.5,68.25,0.0,1.0,0.0,0.7142857142857143,0.75,0.42857142857142855,0.4,1.0
42,356,665586,8635,8571,2009/2010,2009-11-27,HOME_WIN,63.66666666666666,70.6,66.0,72.66666666666667,67.0,71.0,65.0,72.5,1.0,0.0,0.0,0.8,0.7142857142857143,0.16666666666666666,0.16666666666666666,
43,359,665591,9991,9984,2009/2010,2009-11-28,HOME_WIN,64.0,68.0,0.0,70.0,62.0,71.0,65.33333333333333,69.5,1.0,0.0,0.0,0.75,0.8,0.0,0.0,0.0
44,361,665596,9993,9999,2009/2010,2009-11-28,HOME_WIN,61.5,65.6,66.0,67.5,64.0,66.0,63.0,69.0,,,,0.6,0.6,0.0,0.0,
45,362,665598,9985,9993,2009/2010,2009-12-05,DRAW,65.6,70.66666666666667,67.5,69.0,66.0,71.0,69.0,74.0,0.0,0.0,1.0,0.6,0.5,0.4,0.4,
46,365,665603,9984,8635,2009/2010,2009-12-06,AWAY_WIN,70.6,63.75,72.0,64.0,71.0,64.0,74.0,66.8,0.0,1.0,0.0,0.3,0.2857142857142857,0.6666666666666666,0.75,
47,366,665604,9994,8342,2009/2010,2009-12-06,AWAY_WIN,69.4,66.0,70.0,68.0,72.0,61.0,70.5,65.57142857142857,0.0,1.0,0.0,0.0,0.0,0.42857142857142855,0.5,
48,372,665619,10000,9984,2009/2010,2009-12-13,HOME_WIN,64.4,61.0,0.0,67.0,64.0,67.0,65.8,68.0,0.0,0.0,1.0,0.2857142857142857,0.4,0.0,0.0,
49,376,665626,8635,8342,2009/2010,2010-02-03,HOME_WIN,69.6,70.6,70.0,73.0,72.0,71.0,70.25,74.0,0.5,0.5,0.0,0.8333333333333334,0.7777777777777778,0.5,0.5714285714285714,0.0
50,379,665632,9994,9991,2009/2010,2009-12-19,AWAY_WIN,68.0,66.0,69.0,68.0,71.0,61.0,69.5,65.57142857142857,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.2,
51,380,665633,8571,10001,2009/2010,2009-12-19,DRAW,63.0,64.0,64.0,65.5,67.0,67.0,62.75,65.33333333333333,0.0,0.0,1.0,0.5,0.5,0.0,0.0,
52,381,665634,8203,9993,2009/2010,2010-02-02,HOME_WIN,65.5,60.5,67.5,65.66666666666667,66.0,62.0,69.0,65.33333333333333,1.0,0.0,0.0,0.6666666666666666,0.5,0.25,0.25,
53,383,665326,8342,9994,2009/2010,2009-08-09,HOME_WIN,64.0,67.66666666666667,68.5,70.0,73.0,73.0,66.71428571428571,69.0,,,,,,,,
54,384,665327,8635,9984,2009/2010,2009-08-08,HOME_WIN,64.33333333333333,71.0,67.5,71.5,62.0,71.0,66.2,74.5,,,,1.0,,0.0,,
55,386,665329,10000,9987,2009/2010,2009-08-08,DRAW,65.25,63.66666666666666,65.5,64.0,64.0,67.0,65.0,67.4,,,,0.0,,0.3333333333333333,,
56,387,665330,9991,8203,2009/2010,2009-08-09,HOME_WIN,60.33333333333334,67.0,67.0,70.0,61.0,71.0,64.5,68.16666666666667,,,,0.6666666666666666,,0.0,,
57,388,665332,10001,8571,2009/2010,2009-08-08,DRAW,63.0,63.0,67.0,63.0,64.0,67.0,63.125,63.25,,,,1.0,,,,
58,389,665333,9993,9985,2009/2010,2009-08-07,DRAW,69.33333333333333,64.75,69.33333333333333,69.0,70.0,64.0,75.5,69.6,,,,,,0.5,,
59,390,665639,8342,9984,2009/2010,2009-12-26,HOME_WIN,64.75,69.5,64.0,70.0,64.0,72.0,65.6,70.8,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,
60,391,665641,9985,9994,2009/2010,2009-12-26,HOME_WIN,64.66666666666667,67.6,68.0,72.33333333333333,61.0,71.0,66.2,71.5,1.0,0.0,0.0,0.5,0.4,0.0,0.0,
61,395,665647,9991,8635,2009/2010,2009-12-27,DRAW,70.6,68.0,73.0,68.66666666666667,71.0,71.0,74.0,69.4,0.0,0.0,1.0,0.7777777777777778,0.8333333333333334,0.7142857142857143,0.8,
62,397,665653,8635,10000,2009/2010,2009-12-30,HOME_WIN,64.0,70.6,67.0,72.66666666666667,67.0,71.0,68.0,74.0,1.0,0.0,0.0,0.8181818181818182,0.75,0.14285714285714285,0.2,0.0
63,399,665655,9984,9985,2009/2010,2009-12-29,HOME_WIN,68.0,64.5,72.5,64.0,71.0,64.0,71.5,65.6,0.0,0.0,1.0,0.2727272727272727,0.25,0.375,0.3333333333333333,
64,400,665657,9994,9993,2009/2010,2009-12-30,HOME_WIN,65.16666666666667,65.0,67.5,67.0,66.0,61.0,68.5,65.83333333333333,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,
