,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Defender_rating,home_Defender_rating,away_Attacker_rating,home_Attacker_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating
145,493017,8203,9987,2008/2009,2009-02-27 00:00:00,HOME_WIN,61.0,53.333333333333336,68.25,59.0,62.0,58.0,63.0,64.2
153,493025,9984,8342,2008/2009,2009-03-08 00:00:00,AWAY_WIN,67.33333333333333,64.0,70.5,66.0,73.0,64.0,68.0,66.66666666666667
155,493027,8635,10000,2008/2009,2009-03-07 00:00:00,HOME_WIN,56.666666666666664,70.5,58.0,67.0,61.0,67.0,64.0,74.0
162,493034,8203,8635,2008/2009,2009-03-13 00:00:00,HOME_WIN,69.25,55.0,69.5,62.333333333333336,67.0,61.0,74.0,65.5
168,493040,10000,9999,2008/2009,2009-03-14 00:00:00,DRAW,58.5,61.333333333333336,64.0,58.0,64.0,61.0,60.333333333333336,64.0
173,493045,9991,10000,2008/2009,2009-03-22 00:00:00,HOME_WIN,55.0,66.66666666666667,57.0,67.5,61.0,71.0,64.0,70.4
176,493048,9999,8203,2008/2009,2009-03-21 00:00:00,HOME_WIN,55.0,58.5,62.333333333333336,64.0,61.0,64.0,65.5,60.0
189,493061,8635,8342,2008/2009,2009-04-12 00:00:00,HOME_WIN,67.33333333333333,71.25,70.5,69.0,73.0,67.0,68.8,73.4
190,493062,9999,9987,2008/2009,2009-04-10 00:00:00,HOME_WIN,65.5,58.5,66.75,64.0,62.0,64.0,65.0,59.5
217,493080,9984,9987,2008/2009,2009-04-26 00:00:00,AWAY_WIN,65.6,63.333333333333336,70.0,62.0,62.0,64.0,66.0,66.33333333333333
219,493082,9999,9991,2008/2009,2009-04-26 00:00:00,AWAY_WIN,66.0,58.5,69.0,65.5,71.0,64.0,69.6,59.833333333333336
226,493089,10000,9985,2008/2009,2009-05-02 00:00:00,DRAW,71.0,58.25,56.0,58.0,63.0,61.0,72.33333333333333,64.2
