,team_api_id,team_rank,team_long_name,team_offense_rating,team_defense_rating,team_spi_rating
0,8634,1,Barcelona,3.3,0.3,93.5
1,8633,2,Real Madrid,3.4,0.4,92.8
2,9823,3,Bayern Munich,3.2,0.4,92.1
3,9847,4,PSG,3.2,0.5,91.7
4,8456,5,Man. City,3.0,0.5,89.4
5,9885,6,Juventus,2.6,0.5,86.3
6,9875,7,Napoli,2.5,0.5,84.8
7,8455,8,Chelsea,2.6,0.6,84.0
8,9906,9,Atlético Madrid,2.1,0.4,83.8
9,8650,10,Liverpool,2.7,0.7,83.7
10,9789,11,Dortmund,2.8,0.8,82.5
11,9825,12,Arsenal,2.7,0.7,82.5
12,10260,13,Man. United,2.5,0.6,82.5
13,8586,14,Tottenham,2.3,0.6,82.4
14,8686,15,Roma,2.4,0.7,80.7
15,0,16,Inter Milan,2.4,0.7,79.8
16,10267,17,Valencia,2.3,0.7,78.7
17,9773,18,Porto,2.2,0.7,77.4
18,8543,19,Lazio,2.3,0.8,77.0
19,8178,20,Leverkusen,2.3,0.8,76.8
20,8560,21,Real Sociedad,2.4,0.9,76.5
21,9748,22,Lyon,2.2,0.8,76.1
22,8302,23,Sevilla,2.2,0.8,76.1
23,0,24,RB Leipzig,2.2,0.8,75.4
24,9829,25,Monaco,2.2,0.8,74.5
25,10189,26,Schalke 04,2.0,0.7,73.9
26,0,27,CSKA Moscow,1.9,0.6,73.8
27,10205,28,Villarreal,2.1,0.8,73.0
28,8593,29,Ajax,2.6,1.2,73.0
29,0,30,Shakhtar,2.2,0.9,72.9
30,8592,31,Marseille,2.0,0.8,72.7
31,8226,32,Hoffenheim,2.1,0.9,71.9
32,0,33,Athletic Bilbao,1.9,0.7,71.6
33,8524,34,Atalanta,2.0,0.8,71.4
34,9772,35,Benfica,1.9,0.8,71.3
35,0,36,Celta Vigo,2.1,0.9,71.3
36,0,37,Leganés,1.7,0.6,71.1
37,0,38,AC Milan,1.9,0.8,71.1
38,0,39,Gladbach,2.2,1.0,71.0
39,8640,40,PSV,2.5,1.2,70.2
40,9810,41,Eintracht,1.8,0.7,70.2
41,0,42,Zenit,1.8,0.7,70.2
42,8406,43,FC Augsburg,1.9,0.8,70.1
43,8305,44,Getafe,1.8,0.8,69.9
44,0,45,Spartak Moscow,2.1,0.9,69.7
45,9994,46,Sporting,1.9,0.9,69.7
46,0,47,RB Salzburg,2.0,0.9,69.5
47,0,48,Dynamo Kiev,2.0,0.9,69.5
48,8721,49,Wolfsburg,1.9,0.9,69.4
49,8372,50,Eibar,1.8,0.8,69.3
50,8535,51,Fiorentina,2.0,0.9,69.0
51,9931,52,Basel,2.1,1.0,68.1
52,8558,53,Espanyol,1.6,0.7,67.2
53,0,54,Lokomotiv,1.7,0.7,66.9
54,0,55,Beşiktaş,1.7,0.8,65.9
55,8697,56,Werder Bremen,1.8,0.9,65.7
56,0,57,Girona,1.7,0.9,65.5
57,9925,58,Celtic,2.1,1.2,65.5
58,9882,59,Sampdoria,2.0,1.1,64.8
59,8177,60,Hertha BSC,1.8,1.0,64.4
60,9864,61,Málaga,1.7,0.9,64.4
61,0,62,Boca Juniors,1.6,0.8,64.2
62,8603,63,Real Betis,1.9,1.0,63.6
63,9827,64,Bordeaux,1.7,0.9,63.6
64,8466,65,Southampton,1.7,0.9,63.5
65,9783,66,Deportivo,1.8,1.0,63.4
66,9817,67,Watford,1.8,1.1,62.8
