,Team Name,Total Scores,Away Matches,Home Matches,Total Conceded,Total Wins,Total Defeat,Total Draws,Home Scored,Home Conceded,Home Wins,Home Defeats,Away Wins,Away Defeats,Winning Percentage,Loss Percentage,Home Winning Percentage,Away Winning Percentage
0,1. FC Kaiserslautern,72,34,34,105,17,33,18,37,47,8,15,9,18,0.25,0.4852941176470588,0.23529411764705882,0.2647058823529412
1,1. FC Köln,226,102,102,311,60,90,54,116,139,32,39,28,51,0.29411764705882354,0.4411764705882353,0.3137254901960784,0.27450980392156865
2,1. FC Nürnberg,193,85,85,269,49,78,43,108,118,30,34,19,44,0.28823529411764703,0.4588235294117647,0.35294117647058826,0.2235294117647059
3,1. FSV Mainz 05,320,119,119,319,88,85,65,171,129,55,35,33,50,0.3697478991596639,0.35714285714285715,0.46218487394957986,0.2773109243697479
4,AC Ajaccio,116,57,57,184,22,52,40,64,77,16,22,6,30,0.19298245614035087,0.45614035087719296,0.2807017543859649,0.10526315789473684
5,AC Arles-Avignon,21,19,19,70,3,24,11,14,31,2,11,1,13,0.07894736842105263,0.631578947368421,0.10526315789473684,0.05263157894736842
6,AC Bellinzona,128,54,54,218,25,58,25,74,97,17,24,8,34,0.23148148148148148,0.5370370370370371,0.3148148148148148,0.14814814814814814
7,ADO Den Haag,366,136,136,468,79,119,74,204,200,50,47,29,72,0.29044117647058826,0.4375,0.36764705882352944,0.21323529411764705
8,AJ Auxerre,168,76,76,162,53,49,50,98,72,31,18,22,31,0.34868421052631576,0.3223684210526316,0.40789473684210525,0.2894736842105263
9,AS Monaco,287,114,114,237,95,58,75,153,97,53,22,42,36,0.4166666666666667,0.2543859649122807,0.4649122807017544,0.3684210526315789
10,AS Nancy-Lorraine,203,95,95,254,56,81,53,103,116,30,36,26,45,0.29473684210526313,0.4263157894736842,0.3157894736842105,0.2736842105263158
11,AS Saint-Étienne,371,152,152,326,121,101,82,223,138,75,37,46,64,0.3980263157894737,0.33223684210526316,0.4934210526315789,0.3026315789473684
